Duration,MaxIAT,MinIAT,SynCount,AckCount,FinCount,RstCount,UrgCount,FwdPktCount,BwdPktCount,FwdBytes,BwdBytes,DstPort,HdrLen,Protocol,MaxWinSize,Label
108800768,108800768,108800768,0,0,0,0,0,2,0,132,0,5355,56,17,0,CC
16000054784,4015058176,109504000,0,0,0,0,0,18,0,1818,0,137,504,17,0,CC
40697317120,24697158912,84224,0,0,0,0,0,13,0,2984,0,138,364,17,0,CC
105850880,105850880,105850880,0,0,0,0,0,2,0,132,0,5355,56,17,0,CC
102580992,102580992,102580992,0,0,0,0,0,2,0,132,0,5355,56,17,0,CC
20178944,20178944,20178944,0,0,0,0,0,1,1,104,80,63406,56,17,0,CC
117944064,117944064,117944064,0,0,0,0,0,1,1,302,77,63407,56,17,0,CC
5385984,5385984,5385984,0,0,0,0,0,1,1,86,86,63408,56,17,0,CC
38407936,38407936,38407936,0,0,0,0,0,1,1,346,79,63409,56,17,0,CC
5615104,5615104,5615104,0,0,0,0,0,1,1,86,86,63410,56,17,0,CC
37159168,37159168,37159168,0,0,0,0,0,1,1,346,79,63411,56,17,0,CC
5234944,5234944,5234944,0,0,0,0,0,1,1,86,86,63412,56,17,0,CC
30844928,30844928,30844928,0,0,0,0,0,1,1,346,79,63413,56,17,0,CC
5537024,5537024,5537024,0,0,0,0,0,1,1,86,86,63414,56,17,0,CC
31796992,31796992,31796992,0,0,0,0,0,1,1,346,79,63415,56,17,0,CC
5657856,5657856,5657856,0,0,0,0,0,1,1,86,86,63416,56,17,0,CC
52144896,52144896,52144896,0,0,0,0,0,1,1,346,79,63417,56,17,0,CC
5255936,5255936,5255936,0,0,0,0,0,1,1,86,86,63418,56,17,0,CC
30512896,30512896,30512896,0,0,0,0,0,1,1,346,79,63419,56,17,0,CC
5518848,5518848,5518848,0,0,0,0,0,1,1,86,86,63420,56,17,0,CC
32616704,32616704,32616704,0,0,0,0,0,1,1,346,79,63421,56,17,0,CC
5209344,5209344,5209344,0,0,0,0,0,1,1,86,86,63422,56,17,0,CC
63142144,63142144,63142144,0,0,0,0,0,1,1,346,79,63423,56,17,0,CC
5554944,5554944,5554944,0,0,0,0,0,1,1,86,86,63424,56,17,0,CC
30649344,30649344,30649344,0,0,0,0,0,1,1,346,79,63425,56,17,0,CC
5219840,5219840,5219840,0,0,0,0,0,1,1,86,86,63426,56,17,0,CC
33156864,33156864,33156864,0,0,0,0,0,1,1,347,80,63427,56,17,0,CC
5185280,5185280,5185280,0,0,0,0,0,1,1,86,86,63428,56,17,0,CC
33016832,33016832,33016832,0,0,0,0,0,1,1,347,80,63429,56,17,0,CC
5261056,5261056,5261056,0,0,0,0,0,1,1,86,86,63430,56,17,0,CC
33550848,33550848,33550848,0,0,0,0,0,1,1,347,80,63431,56,17,0,CC
5494016,5494016,5494016,0,0,0,0,0,1,1,86,86,63432,56,17,0,CC
31374848,31374848,31374848,0,0,0,0,0,1,1,347,80,63433,56,17,0,CC
