PC1_float,PC2_float,PC3_float,PC4_float,PC5_float,PC6_float,PC7_float,PC8_float,PC9_float,PC10_float,PC11_float,PC12_float,PC1_code,PC2_code,PC3_code,PC4_code,PC5_code,PC6_code,PC7_code,PC8_code,PC9_code,PC10_code,PC11_code,PC12_code,Label
-579118155.6824508,402286567.6894859,155.46298674652598,-32589.636973974903,-44.70344627630402,2.6482133341688243,-0.9088082537650742,-0.0028208010411731044,-0.6451072689543096,-0.14748762912061214,0.5691405196755461,4.256010584678043e-09,847,27293,2744,22151,10490,39283,32305,29304,24187,16973,62343,31253,Benign
19709201580.98124,2260888171.836504,-60192.72896620523,-33263.181284008955,-15393.692194172076,4.33367845783597,1.5783514117799113,-6.212982170095675,0.5574999035216317,-0.11357246678139768,0.5517614313665983,-7.857585485657566e-08,16465,30006,2101,21698,9424,39319,34109,15812,38221,17526,61605,18248,Benign
19682810129.181423,2270166407.654628,-60083.50262552932,-34278.94599589228,-15328.43554662681,4.525002816679522,1.5230356955336897,-6.223783754240753,0.5534592471302022,-0.08268277134569843,0.5698841297864045,-7.849800463984549e-08,16444,30020,2102,21015,9429,39323,34069,15789,38174,18029,62375,18260,Benign
47853896798.89329,-18296492937.57931,-145257.72680644286,-65527.95992434371,793147.3291077405,-52.882967788940476,-39.28582522363047,3.6332187836976133,2.8185943595237224,0.3180082308213422,-0.5739321082320044,6.741813543448594e-08,38129,0,1195,0,65535,38086,4472,37203,64606,24556,13777,41171,Benign
47853897737.427795,-18296493282.764732,-145257.7304606747,-65527.960180095135,793147.325994668,-52.88297039518065,-39.28582538785429,3.633218654353256,2.8185943691359445,0.31800824019307405,-0.5739321049745283,6.741813378388469e-08,38129,0,1195,0,65535,38086,4472,37203,64606,24556,13777,41171,Benign
47855719011.77732,-18289539545.165977,-145798.51270262903,-65301.709398575214,781499.553277037,-23.508317012915434,44.91070550486999,-3.6956327555281088,-2.717890450085445,-0.34232797966445233,0.604899593215157,-6.936554531979019e-08,38131,10,1189,152,64727,38719,65535,21281,0,13799,63863,19694,Benign
47855718666.591896,-18289540483.700485,-145798.51350208514,-65301.70974387866,781499.5485413597,-23.508321920361603,44.91070542305935,-3.695632882051924,-2.7178904513839193,-0.34232795127935006,0.6048995911190452,-6.9365547034976e-08,38131,10,1189,152,64727,38719,65535,21281,0,13799,63863,19694,Benign
8604399859.563917,4647006823.105064,-20833.835339633835,31247.903252071075,12931.406944367247,9.99017893131478,4.712124782602978,-0.13699434879593453,0.18979221629490084,-0.07892488185406377,-0.6589796370595614,-9.92045143044965e-09,7916,33489,2520,65082,11390,39441,36381,29012,33930,18090,10163,29028,Benign
12836156575.03117,-1203475700.8345609,-40710.01639806065,-35860.95074586957,-26411.66487362117,-22.69080927603635,-3.0538048475806336,10.219871410592418,0.32625217673939,-0.3526640073969092,-0.22930559302054776,1.3988751949691822e-07,11174,24950,2308,19951,8660,38737,30749,51513,35522,13631,28419,52549,Benign
47642620521.99936,-17715321450.4651,-168513.21888448173,17774.82126177595,-148359.36722099344,353.12363272855396,8.645829307926572,-13.491436507501447,-0.1385245875994175,-1.1894382614137677,-0.8981880377265984,-1.9479638625633966e-07,37967,848,947,56021,197,46839,39234,0,30099,0,0,0,Benign
48054565972.83517,-16302240286.776628,-184716.09153988108,-38240.86813268351,-151197.72967187606,-56.354134949728994,-9.806923247550815,-7.533686840206093,0.5669882826536593,0.3515684659882248,-0.15310689724531804,-9.852304465840645e-08,38284,2911,774,18351,0,38011,25852,12943,38332,25103,31657,15116,Benign
47891608173.24893,-16745308004.849201,-184279.17436255148,-38500.514611821534,-148376.92940875614,-38.746672975082745,-17.21820026105894,-8.055047445692063,1.041171948239079,0.46998027066926323,-0.2475759095980255,-1.0217317016718049e-07,38158,2264,779,18176,196,38390,20477,11810,43865,27032,27643,14543,Benign
